0,1
us-gaap:gaincontingencyunrecordedamount,548000000
us-gaap:gaincontingencyunrecordedamount,930000000
us-gaap:standardproductwarrantyaccrual,4368000000
us-gaap:standardproductwarrantyaccrual,5143000000
us-gaap:standardproductwarrantyaccrual,4242000000
us-gaap:cashandcashequivalentsatcarryingvalue,12977000000
us-gaap:sharebasedcompensationarrangementbysharebasedpaymentawardoptionsoutstandingnumber,1600000
us-gaap:commonstockparorstatedvaluepershare,0.00001
us-gaap:shorttermdebtweightedaverageinterestrate,0.0010
us-gaap:sharebasedcompensationarrangementbysharebasedpaymentawardnumberofsharesavailableforgrant,445200000
us-gaap:commonstocksharesauthorized,12600000000
us-gaap:commonstocksharesoutstanding,5705400000
us-gaap:sharebasedcompensationarrangementbysharebasedpaymentawardoptionsoutstandingweightedaverageex,16.62
us-gaap:numberofstores,456
us-gaap:commonstocksharesissued,5705400000
us-gaap:commonstocksincludingadditionalpaidincapital,26327000000
us-gaap:liabilitiescurrent,65285000000
us-gaap:employeerelatedliabilitiescurrent,1551000000
us-gaap:accumulateddepreciationdepletionandamortizationpropertyplantandequipment,24395000000
us-gaap:longtermdebtnoncurrent,47419000000
us-gaap:longtermdebtmaturitiesrepaymentsofprincipalafteryearfive,34992000000
us-gaap:deferredrevenuenoncurrent,3474000000
us-gaap:deferredtaxliabilitiesnoncurrent,24539000000
us-gaap:accruedliabilitiescurrent,22724000000
us-gaap:longtermdebtcurrent,2500000000
us-gaap:liabilities,147474000000
us-gaap:longtermdebtmaturitiesrepaymentsofprincipalinyeartwo,2500000000
us-gaap:taxespayablecurrent,1566000000
us-gaap:longtermdebtmaturitiesrepaymentsofprincipalinyearfive,3000000000
us-gaap:finitelivedintangibleassetsaccumulatedamortization,3991000000
us-gaap:stockrepurchaseprogramauthorizedamount1,140000000000
us-gaap:allowancefordoubtfulaccountsreceivablecurrent,83000000
us-gaap:unrecognizedtaxbenefits,5400000000
us-gaap:standardproductwarrantyaccrual,5137000000
us-gaap:availableforsalesecuritiesaccumulatedgrossunrealizedgainbeforetax,395000000
us-gaap:debtinstrumentcarryingamount,49992000000
us-gaap:commercialpaper,4499000000
us-gaap:unrecordedunconditionalpurchaseobligationbalancesheetamount,4800000000
us-gaap:otherliabilitiesnoncurrent,31296000000
us-gaap:unrecognizedtaxbenefitsincometaxpenaltiesandinterestaccrued,928000000
us-gaap:deferredrevenuecurrent,9088000000
us-gaap:accumulatedothercomprehensiveincomelossnetoftax,1098000000
us-gaap:accruedmarketingcostscurrent,1651000000
us-gaap:operatingleasesfutureminimumpaymentsdue,5000000000
us-gaap:otheraccruedliabilitiesnoncurrent,6757000000
us-gaap:unrecognizedtaxbenefitsthatwouldimpacteffectivetaxrate,2000000000
us-gaap:otheraccruedliabilitiescurrent,11450000000
us-gaap:retainedearningsaccumulateddeficit,98252000000
us-gaap:stockholdersequity,125677000000
us-gaap:liabilitiesandstockholdersequity,273151000000
us-gaap:longtermdebtmaturitiesrepaymentsofprincipalinyearfour,6000000000
us-gaap:longtermdebtmaturitiesrepaymentsofprincipalinyearthree,3500000000
us-gaap:otherdeferredcreditscurrent,1369000000
us-gaap:accountspayablecurrent,26474000000
us-gaap:availableforsalesecurities,202848000000
us-gaap:intangibleassetsnetexcludinggoodwill,3779000000
us-gaap:inventoryfinishedgoodsnetofreserves,1568000000
us-gaap:propertyplantandequipmentnet,21149000000
us-gaap:assetscurrent,70953000000
us-gaap:sharebasedcompensationarrangementbysharebasedpaymentawardoptionsoutstandingintrinsicvalue,177000000
us-gaap:otherassetscurrent,9291000000
us-gaap:nontradereceivablescurrent,9537000000
us-gaap:goodwill,5044000000
us-gaap:finitelivedintangibleassetsgross,7670000000
us-gaap:employeeservicesharebasedcompensationnonvestedawardstotalcompensationcostnotyetrecognized,7300000000
us-gaap:finitelivedintangibleassetsnet,3679000000
us-gaap:indefinitelivedintangibleassetsexcludinggoodwill,100000000
us-gaap:inventorypartsandcomponentsnetofreserves,474000000
us-gaap:cashandcashequivalentsatcarryingvalue,15319000000
us-gaap:debtinstrumentunamortizeddiscount,97000000
us-gaap:deferredtaxassetsliabilitiesnetcurrent,5010000000
